Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD002034	fludarabine resistance in mantle cell lymphoma	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Jiri Petrak	2015-08-03	biomedical, mantle cell lymphoma, silac, fludarabine, 
PXD001610	proteomic analysis of the response to cell cycle arrests in human myeloid leukemia cells	PRIDE	homo sapiens 	Q Exactive	25555159	Angus Lamond	2015-07-23	biomedical, human, lc-msms,, 
PXD001890	glioma-derived stem-like cells (gscs): quantitative proteomics	PRIDE	homo sapiens 	LTQ Orbitrap Elite	j.euprot.2015.06.008	Carol Nilsson	2015-07-07	chromosome-centric human proteome project (c-hpp), human proteome project, biomedical, biological, glioma stem cells, lc-ms/ms, 
PXD001115	proteomics of ngf-trka signaling dynamics in neuroblastoma cells	PRIDE	homo sapiens 	Q Exactive	25921289	Jesper V. Olsen	2015-05-06	biomedical, ngf, trka, neuroblastoma, mass spectrometry, silac, phosphoproteome, interactome, proteome, 
PXD002098	super-silac allows classification of diffuse large b-cell lymphoma subtypes by their protein expression profiles	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Q Exactive	22442255	Matthias Mann	2015-04-24	biomedical, lymphoma, super silac, classification, dlbcl, 
PXD001124	tissue proteomics of splenic marginal zone lymphoma	PRIDE	homo sapiens 	ion trap	25873066	Daniela Cecconi	2015-04-23	biomedical, splenic marginal zone lymphoma, tissue proteomics, lymphocytes, 
PXD000114	metaproteomics of premature infant gut colonization	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending		2014-12-16	biomedical, metaproteomics, colonization/ infant gut/ microbiome/ metaproteomics, 
PXD001110	the role of prdx1 in chemoresistance	PRIDE	homo sapiens 	HCTultra	25484280	Gereon Poschmann	2014-12-12	biomedical, prdx1, redox proteomics, glioma, chemoresistance, 
PXD001398	accessibilome of human glioblastoma	PRIDE	homo sapiens , mus musculus 	Bruker Daltonics esquire series	25325876	Vincent Castronovo	2014-10-17	biomedical, biomarkers, perivascular, targeted therapy,, 
PXD001084	label-free lc-mse in tissue and serum reveals protein networks underlying differences between benign and malignant serous ovarian tumors	PRIDE	homo sapiens 	Synapt G2 MS	25265318	Johannes M.F.G. Aerts	2014-10-13	biomedical, ovarian cancer, serum, tissue, label free quantitation, all ions fragmentation, topx peptide quantitation, 
PXD001230	effects of egfr, egfrviii, pten on invasion-promoting proteins secreted by glioblastoma cells (sangar et al. 2014)	PeptideAtlas	homo sapiens	6490 Triple Quadrupole LC/MS	24997998	Dr Nathan D Price	2014-08-18	selected reaction monitoring, srm, targeted, 
PXD000441	human aml cell lines lc-ms/ms	PRIDE	homo sapiens 	LTQ Orbitrap Velos; LTQ Orbitrap Elite	25044641	Frode Steingrimsen Berven	2014-07-15	biomedical, human, aml, cell lines, super-silac, lc-ms, orbitrap velos pro, 
PXD001038	differentially embedded glioblastoma tumor protein quantitation	PRIDE	homo sapiens 	TripleTOF 5600	24927040	Forest M White	2014-07-09	biomedical, glioblastoma, tumor, protein expression, quantitation, itraq, 
PXD000216	proteome changes induced by imatinib and novel imatinib derivatives in k562 human chronic myeloid leukemia cells	PRIDE	homo sapiens 	LTQ Orbitrap; instrument model: LTQ-Orbitrap	Dataset with its publication pending		2014-06-30	biomedical, human, silac, k562, long columns, lc-msms, imatinib, 
PXD000843	mrm verification of serum protein biomarkers differentially expressed in active tuberculosis in hiv- and hiv+ individuals (all centers - part 1)	PeptideAtlas	homo sapiens	QTRAP 5500	no publication	Eustache Paramithiotis	2014-03-18	selected reaction monitoring, srm, targeted, 
PXD000827	mrm verification of serum protein biomarkers differentially expressed in active tuberculosis in hiv- and hiv+ individuals (all centers - part 2)	PeptideAtlas	homo sapiens	QTRAP 5500	no publication	Eustache Paramithiotis	2014-03-18	selected reaction monitoring, srm, targeted, 
PXD000678	a proteomic chronology of gene expression through the cell cycle in human myeloid leukemia cells.	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Q Exactive	24596151	Prof Angus Lamond	2014-03-12	biological, cell cycle, fasp, hsax, human, nb4, 
PXD000658	global phosphoproteomic profiling reveals distinct signatures in b-cell non-hodgkin lymphomas	PRIDE	homo sapiens 	LTQ Orbitrap XL	24667141		2014-01-09	ms/ms,b-cell lymphoma,phosphoproteome, 
PXD000563	integrated chromosome 19 transcriptomic and proteomic datasets derived from six glioma-derived cancer stem cell lines	PRIDE	homo sapiens 	LTQ Orbitrap Elite	24266786		2013-11-27	chromosome-centric human proteome project (c-hpp), human proteome project, chromosome-centric human proteome project, proteins, mrna, rna-seq, mass spectrometry, bioinfomatics, glioma, glioma stem cells, can
PXD000065	hirief deep proteomics of a431 human vulvar cancer cell line and n2a mouse neuroblastoma cell line	PRIDE	homo sapiens , mus musculus	LTQ Orbitrap	24240322		2013-09-27	a431,n2a,human,mouse,lc-ms,hirief,isoelectric focusing,cancer, 
PXD000030	annexin a1 interacting proteins in chronic myeloid leukemia kcl22 cells	PRIDE	homo sapiens , homo sapiens 	instrument model: IonTrap XCT Ultra	23754495		2013-08-13	annexin a1, protein interaction, chronic myeloid leukemia, 
PXD000217	phosphoproteomics data classify haematological cancer cell lines according to tumour type and sensitivity to kinase inhibitors	PRIDE	homo sapiens , homo sapiens 	LTQ Orbitrap; instrument model: LTQ Orbitrap	23628362		2013-04-26	phosphoproteomics, imac, kinase inhibitor, drug sensitivity, hierarchical clustering analysis, blood malignancies, acute myeloid leukemia, 
PXD000185	kinase substrate enrichment analysis provides insights into the heterogeneity of signaling pathway activation in leukemia cells	PRIDE	homo sapiens 	LTQ Orbitrap; instrument model: LTQ-Orbitrap	23532336		2013-04-09	pi3k/mtor inhibitors, aml primary cells, label free quantification, tio2 phosphoenrichment, 
